1546570800000,4521077,1331,23695,467916,1331,14361,2832104,4663,68676,3968371,3047,47971,44072,184,1725,1590316,2033,22094,2014669,19062,124839,2374365,3445,53042,218084,1390,24702
1546657200000,4526222,5145,26702,469385,1469,15282,2837038,4934,71398,3972163,3792,50282,44633,561,2072,1593661,3345,22176,2031186,16517,137492,2380336,5971,54785,221043,2959,26262
1546743600000,4533234,7012,28262,470926,1541,15849,2846109,9071,76673,3977018,4855,48841,45015,382,2310,1598152,4491,23425,2043656,12470,142813,2388861,8525,52754,224222,3179,23832
1546830000000,4537829,4595,27041,471904,978,15712,2853982,7873,69988,3981206,4188,37871,45182,167,2216,1601902,3750,23215,2053148,9492,139373,2394188,5327,48158,226116,1894,17636
1546916400000,4540209,2380,25115,472787,883,13796,2857850,3868,51788,3983916,2710,28923,45315,133,2031,1603969,2067,21316,2058964,5816,125659,2397873,3685,41662,227364,1248,14614
1547002800000,4542946,2737,24854,474543,1756,10490,2861215,3365,40035,3986556,2640,24759,45456,141,1833,1605659,1690,19324,2065207,6243,96452,2402747,4874,38933,228592,1228,13204
1547089200000,4545552,2606,25806,476191,1648,9606,2864387,3172,36946,3994329,7773,29005,45545,89,1657
1547175600000,4547680,2128,26603,477722,1531,9806,2867603,3216,35499,4011751,17422,43380,45692,147,1620,1609187,2019,18871,2075361,4545,60692,2412385,4365,38020,230529,925,12445
1547262000000,4550299,2619,24077,478830,1108,9445,2883587,15984,46549,4030618,18867,58455,45824,132,1191,1612526,3339,18865,2085152,9791,53966,2415545,3160,35209,231588,1059,10545
1547348400000,4553577,3278,20343,479833,1003,8907,2913345,29758,67236,4046622,16004,69604,46062,238,1047,1618224,5698,20072,2100052,14900,56396,2422520,6975,33659,232593,1005,8371
1547434800000,4556396,2819,18567,480607,774,8703,2929478,16133,75496,4054860,8238,73654,46486,424,1304,1626076,7852,24174,2108887,8835,55739,2428561,6041,34373,233320,727,7204
