1540998000000,18355,1970,252,92
1541084400000,18376,1971,252,93
1541170800000,18402,1972,252,93
1541257200000,18425,1978,252,93
1541343600000,18462,1979,252,93
1541430000000,18483,1984,252,93
1541516400000,18501,1987,252,93
1541602800000,18518,1987,252,93
1541689200000,18532,1987,252,93
1541775600000,18546,1990,252,93
1541862000000,18569,1994,253,93
1541948400000,18600,1996,253,93
1542034800000,18622,2001,253,93
1542121200000,18644,2002,253,93
1542207600000,18663,2004,253,93
1542294000000,18691,2008,254,93
1542380400000,18707,2013,254,93
1542466800000,18732,2018,254,94
1542553200000,18771,2019,255,95
1542639600000,18788,2020,257,95
1542726000000,18810,2022,257,95
1542812400000,18824,2025,257,95
1542898800000,18848,2033,257,95
1542985200000,18871,2037,257,95
1543071600000,18892,2039,257,95
1543158000000,18926,2045,259,95
1543244400000,18949,2048,260,95
1543330800000,18980,2050,262,95
1543417200000,18996,2053,262,96
1543503600000,19014,2056,263,96
1543590000000,19033,2060,264,96
1543676400000,19073,2070,264,96
1543762800000,19102,2074,265,97
1543849200000,19129,2076,267,98
1543935600000,19142,2077,269,98
1544022000000,19165,2082,267,97
1544108400000,19187,2082,267,97
1544194800000,19200,2086,269,98
1544281200000,19226,2083,266,98
1544367600000,19266,2095,269,98
1544454000000,19286,2095,271,99
1544540400000,19308,2103,271,99
1544626800000,19344,2112,271,99
1544713200000,19355,2108,271,99
1544799600000,19378,2114,271,99
1544886000000,19410,2110,273,99
1544972400000,19428,2117,273,99
1545058800000,19449,2134,277,100
1545145200000,19478,2124,271,100
1545231600000,19509,2127,277,101
1545318000000,19545,2130,275,99
1545404400000,19553,2133,275,100
1545490800000,19579,2135,275,101
1545577200000,19612,2147,276,100
1545663600000,19632,2155,277,102
1545750000000,19652,2164,279,103
1545836400000,19687,2166,280,103
1545922800000,19704,2168,278,103
1546009200000,19739,2170,280,104
1546095600000,19746,2177,279,103
1546182000000,19783,2175,283,104
1546268400000,19821,2178,284,104
